,화재총합(건),실화(건),방화(건),기타(건),소실동수(동수),이재가구수(가구),소실면적(m²),피해액총합(천원),부동산피해(천원),동산피해(천원),재산피해경감액(천원),인명피해합(명),인명피해_남(명),인명피해_여(명),사망총합(명),사망_남(명),사망_여(명),부상총합(명),부상_남(명),부상_여(명),이재민수(명),구조인원(명)
종로구,191,159,2,30,2,1,501,272206,151976,120230,19510470,12,6,6,2,1,1,10,5,5,3,18
중구,190,155,9,26,27,5,956,2401154,551299,1849855,14502237,24,19,5,2,2,,22,17,5,6,6
용산구,207,173,9,25,6,11,390,270752,96719,174033,3893566,10,9,1,2,2,,8,7,1,17,8
성동구,215,186,5,24,34,3,1997,1085583,313315,772268,10672630,11,6,5,1,,1,10,6,4,4,22
광진구,145,131,2,12,15,4,419,484286,172347,311939,2761290,7,4,3,,,,7,4,3,8,18
동대문구,173,150,2,21,11,6,626,802227,264662,537565,15084860,14,8,6,2,,2,12,8,4,19,54
중랑구,188,162,9,17,,,933,377343,180328,197015,12340538,23,12,11,3,2,1,20,10,10,,8
성북구,158,135,6,17,20,5,837,338543,131717,206826,27621075,14,6,8,1,1,,13,5,8,9,4
강북구,155,130,7,18,36,8,585,333463,178589,154874,5704307,14,8,6,1,1,,13,7,6,11,16
도봉구,159,138,4,17,14,2,803,279020,156102,122918,14467665,13,7,6,2,2,,11,5,6,6,7
노원구,169,147,7,15,21,1,7006,376315,199302,177013,26480545,7,4,3,3,2,1,4,2,2,2,7
은평구,217,195,3,19,15,6,3375,609785,191089,418696,1358389,17,10,7,1,,1,16,10,6,12,8
서대문구,223,196,6,21,8,4,946,496822,248014,248808,12367012,9,4,5,2,1,1,7,3,4,10,8
마포구,250,237,,13,34,19,964,638235,273997,364238,2278763,15,6,9,1,1,,14,5,9,54,4
양천구,159,144,1,14,,1,460,366561,182185,184376,60259544,6,4,2,,,,6,4,2,4,12
강서구,223,181,1,41,48,3,903,545016,194604,350412,13288084,15,10,5,4,3,1,11,7,4,4,9
구로구,222,194,6,22,3,17,497,424132,139453,284679,13137593,5,4,1,,,,5,4,1,24,2
금천구,214,193,1,20,11,29,1061,934792,467717,467075,3820827,15,12,3,1,1,,14,11,3,56,41
영등포구,249,212,6,31,18,12,1258,823438,440327,383111,15495391,26,22,4,5,5,,21,17,4,15,16
동작구,187,176,2,9,11,8,686,214638,114330,100308,67558388,18,10,8,1,,1,17,10,7,12,25
관악구,305,275,3,27,34,38,1003,337349,155294,182055,3722495,18,10,8,1,1,,17,9,8,44,50
서초구,216,195,3,18,21,13,2531,406287,146170,260117,11484022,13,9,4,,,,13,9,4,19,43
강남구,437,402,9,26,64,28,1721,1923724,874519,1049205,330207705,17,12,5,,,,17,12,5,32,54
송파구,350,328,4,18,82,4,1424,1043294,490790,552504,5286418,13,12,1,1,1,,12,11,1,8,11
강동구,194,162,2,30,51,6,2183,807586,300126,507460,18613019,26,14,12,1,1,,25,13,12,98,21
